
664792. Done: 0.0, Runtime: 0.589019775391
664795. Done: 0.0, Runtime: 0.212448120117
664796. Done: 0.0, Runtime: 0.414894104004
664799. Done: 0.0, Runtime: 0.424179077148
664800. Done: 0.0, Runtime: 0.415924072266
664801. Done: 0.0, Runtime: 0.504692077637
664802. Done: 0.0, Runtime: 0.242317199707
664804. Done: 0.0, Runtime: 0.457328796387
664806. Done: 0.0, Runtime: 0.426864624023
664807. Done: 0.0, Runtime: 0.442817687988
664892. Done: 0.0, Runtime: 1.37490081787
664914. Done: 0.0, Runtime: 1.29918670654
664926. Done: 0.0, Runtime: 1.35446929932
664950. Done: 0.0, Runtime: 1.60426330566
664962. Done: 0.0, Runtime: 1.49269866943
664974. Done: 0.0, Runtime: 1.62466430664
1393792. Done: 0.0, Runtime: 1.19956207275
1393805. Done: 1.0, Runtime: 1.31655883789
1393818. Done: 1.0, Runtime: 1.44602203369
1393831. Done: 1.0, Runtime: 1.20588684082
1393844. Done: 1.0, Runtime: 1.13907623291
1393857. Done: 1.0, Runtime: 1.15503692627
1393870. Done: 1.0, Runtime: 1.52169036865
1393883. Done: 1.0, Runtime: 2.02604675293
1393896. Done: 1.0, Runtime: 1.59482574463
1393909. Done: 1.0, Runtime: 1.40919494629
1393922. Done: 1.0, Runtime: 1.47068023682
1393947. Done: 1.0, Runtime: 1.67656707764
1393960. Done: 1.0, Runtime: 1.31952667236
1393973. Done: 1.0, Runtime: 1.22424316406
1393986. Done: 1.0, Runtime: 1.72150421143
1393999. Done: 1.0, Runtime: 1.57735443115
1434478. Done: 1.0, Runtime: 0.24333190918
1434489. Done: 1.0, Runtime: 0.19450378418
1437997. Done: 1.0, Runtime: 0.20433807373
1451354. Done: 1.0, Runtime: 0.256309509277
1451365. Done: 1.0, Runtime: 0.376075744629
1451376. Done: 1.0, Runtime: 0.349258422852
1451751. Done: 1.0, Runtime: 0.425827026367
1451900. Done: 1.0, Runtime: 1.12160491943
1451912. Done: 1.0, Runtime: 1.70965576172
1451924. Done: 1.0, Runtime: 0.968002319336
1451936. Done: 1.0, Runtime: 1.80603027344
1451948. Done: 1.0, Runtime: 0.890098571777
1451960. Done: 1.0, Runtime: 0.844497680664
1451972. Done: 1.0, Runtime: 1.47007751465
1452099. Done: 1.0, Runtime: 0.895683288574
1452111. Done: 1.0, Runtime: 0.724159240723
1452123. Done: 1.0, Runtime: 0.672225952148
1452135. Done: 1.0, Runtime: 1.46463012695
1452147. Done: 1.0, Runtime: 0.92301940918
1452159. Done: 2.0, Runtime: 0.679710388184
1452171. Done: 2.0, Runtime: 0.731048583984
1452221. Done: 2.0, Runtime: 1.34194183350
1452233. Done: 2.0, Runtime: 1.36685943604
1452245. Done: 2.0, Runtime: 0.936676025391
1452257. Done: 2.0, Runtime: 0.893310546875
1452269. Done: 2.0, Runtime: 0.78443145752
1452281. Done: 2.0, Runtime: 0.773010253906
1452293. Done: 2.0, Runtime: 0.705116271973
1452305. Done: 2.0, Runtime: 0.724578857422
1452430. Done: 2.0, Runtime: 0.821815490723
1452602. Done: 2.0, Runtime: 1.03125762939
1452614. Done: 2.0, Runtime: 1.42075347900
1452672. Done: 2.0, Runtime: 1.04343414307
1454208. Done: 2.0, Runtime: 0.609504699707
1454209. Done: 2.0, Runtime: 0.412445068359
1454219. Done: 2.0, Runtime: 0.468467712402
1454220. Done: 2.0, Runtime: 0.452789306641
1454221. Done: 2.0, Runtime: 0.535079956055
1454230. Done: 2.0, Runtime: 0.657295227051
1454338. Done: 2.0, Runtime: 0.35302734375
1454350. Done: 2.0, Runtime: 0.50439453125
1466141. Done: 2.0, Runtime: 0.474761962891
1466193. Done: 2.0, Runtime: 0.565742492676
1466496. Done: 2.0, Runtime: 1.01944732666
1466568. Done: 2.0, Runtime: 0.571517944336
1466601. Done: 2.0, Runtime: 0.516647338867
1466800. Done: 2.0, Runtime: 0.520614624023
1474150. Done: 2.0, Runtime: 0.213920593262
1474151. Done: 2.0, Runtime: 0.102737426758
1613866. Done: 2.0, Runtime: 0.478248596191
1613907. Done: 2.0, Runtime: 0.218406677246
1613909. Done: 2.0, Runtime: 0.252326965332
1613910. Done: 2.0, Runtime: 0.217407226563
1614114. Done: 3.0, Runtime: 0.397720336914
1614115. Done: 3.0, Runtime: 0.294242858887
1614125. Done: 3.0, Runtime: 0.321151733398
1895666. Done: 3.0, Runtime: 0.335090637207
1895670. Done: 3.0, Runtime: 0.127296447754
1895678. Done: 3.0, Runtime: 0.107734680176
1895679. Done: 3.0, Runtime: 0.129676818848
1895680. Done: 3.0, Runtime: 0.49365234375
1895690. Done: 3.0, Runtime: 0.92211151123
1895691. Done: 3.0, Runtime: 0.883644104004
1895698. Done: 3.0, Runtime: 0.273422241211
1895705. Done: 3.0, Runtime: 0.263244628906
1895720. Done: 3.0, Runtime: 0.213493347168
1895722. Done: 3.0, Runtime: 0.374969482422
1895729. Done: 3.0, Runtime: 0.10075378418
1895768. Done: 3.0, Runtime: 0.143615722656
1895769. Done: 3.0, Runtime: 0.139213562012
1895770. Done: 3.0, Runtime: 0.137619018555
1895779. Done: 3.0, Runtime: 0.112701416016
1898971. Done: 3.0, Runtime: 0.694793701172
1899020. Done: 3.0, Runtime: 0.764091491699
1899041. Done: 3.0, Runtime: 0.269248962402
1899055. Done: 3.0, Runtime: 0.683395385742
1899124. Done: 3.0, Runtime: 0.144454956055
1899132. Done: 3.0, Runtime: 0.222442626953
1899153. Done: 3.0, Runtime: 0.38899230957
1899161. Done: 3.0, Runtime: 0.513626098633
1899169. Done: 3.0, Runtime: 0.494705200195
1899177. Done: 3.0, Runtime: 0.387100219727
1899219. Done: 3.0, Runtime: 0.160575866699
1899233. Done: 3.0, Runtime: 0.166557312012
1899241. Done: 3.0, Runtime: 0.219398498535
1899263. Done: 3.0, Runtime: 0.164573669434
1899292. Done: 3.0, Runtime: 0.606376647949
1899313. Done: 4.0, Runtime: 0.365524291992
1926093. Done: 4.0, Runtime: 0.591934204102
1943658. Done: 4.0, Runtime: 0.117698669434
1956881. Done: 4.0, Runtime: 0.126640319824
1956884. Done: 4.0, Runtime: 0.239364624023
1957594. Done: 4.0, Runtime: 0.124671936035
1957597. Done: 4.0, Runtime: 0.106750488281
1957963. Done: 4.0, Runtime: 0.0567932128906
1961399. Done: 4.0, Runtime: 0.280395507813
2038233. Done: 4.0, Runtime: 0.18701171875
2054160. Done: 4.0, Runtime: 0.0219345092773
